Source,Target,Detail
Infinity Gauntlet,Space Stone,
Infinity Gauntlet,Mind Stone,
Infinity Gauntlet,Reality Stone,
Infinity Gauntlet,Soul Stone,
Infinity Gauntlet,Time Stone,
Infinity Gauntlet,Power Stone,
Nano Gauntlet,Space Stone,
Nano Gauntlet,Mind Stone,
Nano Gauntlet,Reality Stone,
Nano Gauntlet,Soul Stone,
Nano Gauntlet,Time Stone,
Nano Gauntlet,Power Stone,
Iron Man,Nano Gauntlet,Creater/User
Hulk,Nano Gauntlet,Creater/User
Rocket Raccoon,Nano Gauntlet,Creater
Thanos,Space Stone,
Thanos,Mind Stone,
Thanos,Reality Stone,
Thanos,Soul Stone,
Thanos,Time Stone,
Thanos,Power Stone,
Thanos,Infinity Gauntlet,Owner
Eitri,Infinity Gauntlet,Constructor
Red Skull,Space Stone,
Arnim Zola,Space Stone,Researched
Mar-Vell,Space Stone,
Captain Marvel,Space Stone,Absorbed the energy
Erik Selvig,Space Stone,Researched
Loki,Space Stone,
Heimdall,Space Stone,Used repair the Rainbow Bridge
Iron Man,Space Stone,Time Heist
Malekith,Reality Stone,
Bor,Reality Stone,
Jane Foster,Reality Stone,
Collector,Reality Stone,
Rocket Raccoon,Reality Stone,
Eson the Searcher,Power Stone,
Collector,Power Stone,
Carina,Power Stone,
Ronan the Accuser,Power Stone,
Star-Lord,Power Stone,
Gamora,Power Stone,
Drax,Power Stone,
Rocket Raccoon,Power Stone,
War Machine,Power Stone,Time Heist
Nebula,Power Stone,Time Heist
Gamora,Soul Stone,Sacrifice
Black Widow,Soul Stone,Sacrifice
Clint Barton,Soul Stone,Time Heist
Red Skull,Soul Stone,Guider
Loki,Mind Stone,
Black Widow,Mind Stone,
Wolfgang von Strucker,Mind Stone,
List,Mind Stone,
Scarlet Witch,Mind Stone,
Quicksilver,Mind Stone,
Ultron,Mind Stone,
Vision,Mind Stone,
Steve Rogers,Mind Stone,Time Heist
Ancient One,Time Stone,
Doctor Strange,Time Stone,
Hulk,Time Stone,Time Heist
Alexandra Reid,The Substance,
Bakuto,The Substance,
Madame Gao,The Substance,
Sowande,The Substance,
Elektra,The Substance,
Nobu Yoshioka,The Substance,
Murakami,The Substance,
Harold Meachum,The Substance,
Ian Quinn,Gravitonium,
Franklin Hall,Gravitonium,
Carl Creel,Gravitonium,
Ruby Hale,Gravitonium,
Glenn Talbot,Gravitonium,
Deke Shaw,Gravitonium,
John Garrett,Gravitonium,
Raina,Gravitonium,
Hale,Gravitonium,
Qovas,Gravitonium,
Lucy Bauer,Darkhold,
Holden Radcliffe,Darkhold,
Aida,Darkhold,
